,Year,Julian_collection,Sex,Site,TL_cm,SL_cm,HW_cm,Mass_g,Papilla_cm,Acces_gonad_g,Gonad_g,Liver_g,Trap,Month,Reproductive_Status,Repro_Strategy,GSI,HSI,Fulton_Condition,SiteType,cYear
2028,2007,163,Male,DC,6.79,5.73,0.094,3.624,0.22,0,0,0.08,NA,June,NR,NA,0,0.022075055,1.926301767,Low contamination,1
1557,2011,152,Male,LS,7.82,6.6,0.135,6.425,0.27,0,0,0.143,NA,June,NR,NA,0,0.022256809,2.234813702,Low contamination,5
8110,2004,266,Male,DC,NA,6.22,NA,6.002,NA,NA,0,0.135,NA,September,NA,NA,0,0.022492502,2.494163027,Low contamination,-2
8219,2007,267,Male,DC,7.03,5.72,0.192,4.256,0.26,0,0,0.096,NA,September,NR,NA,0,0.022556391,2.274120813,Low contamination,1
786,2005,139,Male,GC,NA,7,NA,7.757,NA,0,0,0.177,NA,May,NA,NA,0,0.0228181,2.261516035,Low contamination,-1
263,2008,113,Male,P27,9.35,7.7,0.13,11.549,0.41,0,0,0.266,NA,NA,NR,NA,0,0.023032297,2.529718553,High contamination,2
4160,2010,197,Male,FP,7.44,6,0.11,4.992,0.23,0,0,0.115,NA,July,NR,NA,0,0.023036859,2.311111111,Low contamination,4
3881,2006,194,Male,LS,7.75,6.39,0.1,7.245,0.24,0,0,0.168,NA,July,NR,NA,0,0.023188406,2.776743829,Low contamination,0
8029,2004,266,Male,FP,NA,6.68,NA,7.48,NA,NA,0,0.175,NA,September,NA,NA,0,0.023395722,2.509413387,Low contamination,-2
4594,2004,204,Male,LS,NA,7.55,NA,11.9,NA,NA,0,0.279,NA,July,NA,NA,0,0.023445378,2.765069849,Low contamination,-2
1978,2004,162,Male,LS,NA,8.16,NA,13.196,NA,NA,0,0.312,NA,June,NA,NA,0,0.023643528,2.428688579,Low contamination,-2
2769,2004,176,Male,DC,NA,8.62,NA,15.644,NA,NA,0,0.371,NA,June,NA,NA,0,0.023715162,2.442451844,Low contamination,-2
16419,2022,140,Male,SI,5.35,4.3,0.65,1.765,0.18,0,0,0.042,A,May,NR,NA,0,0.023796034,2.219930321,High contamination,16
9886,2006,298,Male,LS,5.84,4.8,0.082,2.547,NA,0,0,0.061,NA,October,NA,NA,0,0.023949745,2.303059896,Low contamination,0
5262,2008,213,Male,LS,8.07,6.68,0.105,6.927,0.3,0,0,0.166,NA,August,NR,NA,0,0.023964198,2.323891247,Low contamination,2
769,2005,139,Male,DC,NA,8.36,NA,13.7,NA,0,0,0.33,NA,May,NA,NA,0,0.024087591,2.344778023,Low contamination,-1
7007,2012,249,Male,FP,6.86,5.45,0.096,3.977,0.23,NA,0,0.096,NA,September,NR,NA,0,0.024138798,2.45677896,Low contamination,6
7687,2006,263,Male,DC,9.11,7.46,0.138,11.199,NA,0,0,0.273,NA,September,NA,NA,0,0.024377177,2.69750813,Low contamination,0
8460,2006,277,Male,LS,7.15,5.73,0.096,4.92,NA,0,0,0.12,NA,October,NA,NA,0,0.024390244,2.615177896,Low contamination,0
4333,2007,199,Male,LS,7.32,5.96,0.095,4.463,0.2,0,0,0.11,NA,July,NR,NA,0,0.024647098,2.108084949,Low contamination,1
6040,2004,225,Male,FP,NA,6.55,NA,6.109,NA,NA,0,0.151,NA,August,NA,NA,0,0.02471763,2.173933351,Low contamination,-2
2432,2008,170,Male,LS,6.8,5.43,0.079,3.64,0.2,0,0,0.09,NA,June,NR,NA,0,0.024725275,2.273536312,Low contamination,2
5353,2010,215,Male,LS,9.82,7.87,0.142,12.366,0.33,0,0,0.306,NA,August,NR,NA,0,0.024745269,2.536909911,Low contamination,4
14756,2019,212,Male,LS,6.9,5.56,0.99,4.889,0.26,NA,0,0.121,B,July,NR,NA,0,0.024749438,2.844432699,Low contamination,13
9663,2004,295,Male,FP,NA,10.93,NA,39.936,NA,NA,0,0.998,NA,October,NA,NA,0,0.024989984,3.058468964,Low contamination,-2
9124,2004,281,Male,LS,NA,7.62,NA,11.529,NA,NA,0,0.291,NA,October,NA,NA,0,0.025240697,2.605713873,Low contamination,-2
3539,2008,190,Female,P27,5.8,4.82,0.07,2.37,0.2,NA,0,0.06,NA,July,NR,NA,0,0.025316456,2.116446191,High contamination,2
5876,2011,222,Male,LS,5.75,4.85,0.076,2.25,0.1,NA,0,0.057,NA,August,NR,NA,0,0.025333333,1.972228827,Low contamination,5
3855,2004,194,Male,FP,NA,6.14,NA,6.195,NA,NA,0,0.157,NA,July,NA,NA,0,0.025343019,2.676308647,Low contamination,-2
7534,2009,258,Male,DC,7.62,6.05,0.103,5.048,0.25,0,0,0.128,NA,September,NR,NA,0,0.025356577,2.279571519,Low contamination,3
15032,2020,169,Male,DC,6.77,5.42,0.76,3.659,0.2,0,0,0.093,D,June,NR,NA,0,0.025416781,2.298076861,Low contamination,14
7568,2009,258,Male,LS,8.14,6.6,0.119,7.261,0.28,0,0,0.185,NA,September,NR,NA,0,0.025478584,2.525600356,Low contamination,3
5872,2011,222,Female,LS,6.51,5.49,0.099,3.63,0.17,NA,0,0.093,NA,August,NR,NA,0,0.025619835,2.193762415,Low contamination,5
1962,2004,162,Male,DC,NA,5.55,NA,4.911,NA,NA,0,0.126,NA,June,NA,NA,0,0.025656689,2.872704699,Low contamination,-2
481,2005,131,Female,DC,NA,5.61,NA,4.32,NA,NA,0,0.111,NA,May,NA,NA,0,0.025694444,2.446781359,Low contamination,-1
7355,2004,252,Male,LS,NA,5.64,NA,5.209,NA,0,0,0.134,NA,September,NA,NA,0,0.025724707,2.903468011,Low contamination,-2
5296,2008,213,Male,SI,7.51,6.06,0.095,5.321,0.28,0,0,0.137,NA,August,NR,NA,0,0.02574704,2.390976934,High contamination,2
3417,2007,185,Male,LS,6.17,5.05,0.078,3.375,0.14,0,0,0.087,NA,July,NR,NA,0,0.025777778,2.620593399,Low contamination,1
7657,2006,263,Male,DC,7.51,6.04,0.097,5.505,NA,0,0,0.142,NA,September,NA,NA,0,0.025794732,2.498311042,Low contamination,0
1980,2004,162,Male,LS,NA,5.35,NA,3.507,NA,NA,0,0.091,NA,June,NA,NA,0,0.025948104,2.290205323,Low contamination,-2
9467,2005,292,Male,LS,NA,6.1,NA,5.903,NA,NA,0,0.154,NA,October,NA,NA,0,0.02608843,2.600658205,Low contamination,-1
3518,2008,190,Male,P27,8.2,6.85,0.11,6.13,0.2,0,0,0.16,NA,July,NR,NA,0,0.026101142,1.907167161,High contamination,2
15997,2021,223,Male,FP,9.19,6.91,1.24,10.441,0.22,0,0,0.273,C,August,NR,NA,0,0.026146921,3.164520793,Low contamination,15
9155,2004,281,Male,DC,NA,6.72,NA,7.839,NA,NA,0,0.206,NA,October,NA,NA,0,0.026278862,2.583169149,Low contamination,-2
2408,2008,169,Male,P27,7.71,6.17,0.111,6.4,0.2,0,0,0.17,NA,June,NR,NA,0,0.0265625,2.724736327,High contamination,2
2788,2004,176,Male,DC,NA,5.58,NA,4.41,NA,NA,0,0.118,NA,June,NA,NA,0,0.02675737,2.538259338,Low contamination,-2
9118,2004,281,Male,FP,NA,6.81,NA,6.946,NA,NA,0,0.186,NA,October,NA,NA,0,0.026778002,2.19934542,Low contamination,-2
9431,2005,292,Male,GC,NA,6.31,NA,6.776,NA,NA,0,0.182,NA,October,NA,NA,0,0.026859504,2.697027158,Low contamination,-1
16139,2021,236,Male,FP,4.91,3.93,0.56,1.599,0.17,0,0,0.043,B,August,NR,NA,0,0.026891807,2.634333851,Low contamination,15
16238,2021,262,Male,FP,6.74,5.19,0.84,3.564,0.21,0,0,0.096,B,September,NR,NA,0,0.026936027,2.549386148,Low contamination,15
5334,2010,215,Male,DC,8.61,4.85,0.116,7.754,0.29,0,0,0.209,NA,August,NR,NA,0,0.02695383,6.79673881,Low contamination,4
16170,2021,249,Male,DC,5.24,4.14,0.78,1.817,0.11,0,0,0.049,D,September,NR,NA,0,0.026967529,2.560671713,Low contamination,15
2781,2004,176,Male,DC,NA,7.53,NA,10.643,NA,NA,0,0.288,NA,June,NA,NA,0,0.027060039,2.492752345,Low contamination,-2
9574,2010,292,Male,P27,5.62,4.79,0.077,2.28,0.13,NA,0,0.062,NA,October,NR,NA,0,0.027192982,2.074571019,High contamination,4
6061,2004,225,Male,FP,NA,6.44,NA,5.547,NA,NA,0,0.153,NA,August,NA,NA,0,0.027582477,2.07682816,Low contamination,-2
16008,2021,223,Male,SI,6.3,5.05,0.66,3.262,0.17,0,0,0.09,D,August,NR,NA,0,0.027590435,2.53285205,High contamination,15
16279,2021,290,Male,DC,5.48,3.99,0.73,1.957,0.12,0,0,0.054,D,October,NR,NA,0,0.027593255,3.080861241,Low contamination,15
8104,2004,266,Male,DC,NA,8.77,NA,17.932,NA,NA,0,0.497,NA,September,NA,NA,0,0.027715815,2.658458898,Low contamination,-2
1327,2008,150,Male,FP,6.08,4.98,0.081,2.487,0.17,0,0,0.069,NA,May,NR,NA,0,0.02774427,2.013667483,Low contamination,2
2770,2004,176,Male,DC,NA,8.75,NA,16.414,NA,NA,0,0.458,NA,June,NA,NA,0,0.02790301,2.450136443,Low contamination,-2
16058,2021,209,Male,SI,6.03,4.84,0.64,3.082,0.22,0,0,0.086,C,July,NR,NA,0,0.027903958,2.718294769,High contamination,15
3860,2004,194,Male,FP,NA,5.19,NA,3.511,NA,NA,0,0.098,NA,July,NA,NA,0,0.027912276,2.511474401,Low contamination,-2
8109,2004,266,Male,DC,NA,6.83,NA,7.339,NA,NA,0,0.205,NA,September,NA,NA,0,0.027932961,2.303428716,Low contamination,-2
16149,2021,236,Male,FP,7.88,6.26,0.91,7.155,0.26,0,0,0.201,B,August,NR,NA,0,0.028092243,2.916665593,Low contamination,15
494,2005,131,Male,FP,NA,8.29,NA,13.452,NA,NA,0,0.381,NA,May,NA,NA,0,0.028322926,2.361148309,Low contamination,-1
7352,2004,252,Male,LS,NA,7.23,NA,9.638,NA,0,0,0.274,NA,September,NA,NA,0,0.028429135,2.550187015,Low contamination,-2
7068,2012,249,Male,P27,7.31,5.9,0.112,4.783,0.27,NA,0,0.136,NA,September,NR,NA,0,0.028434037,2.328865171,High contamination,6
9460,2005,292,Male,LS,NA,6.76,NA,8.191,NA,0,0,0.233,NA,October,NA,NA,0,0.028445855,2.651531788,Low contamination,-1
9123,2004,281,Male,LS,NA,8.94,NA,21.789,NA,NA,0,0.621,NA,October,NA,NA,0,0.02850062,3.049472649,Low contamination,-2
6065,2004,225,Male,FP,NA,6.49,NA,5.473,NA,NA,0,0.156,NA,August,NA,NA,0,0.028503563,2.00212578,Low contamination,-2
6068,2004,225,Male,FP,NA,5.9,NA,3.533,NA,NA,0,0.101,NA,August,NA,NA,0,0.028587603,1.720234299,Low contamination,-2
7530,2005,257,Male,FP,NA,5.17,NA,3.148,NA,NA,0,0.09,NA,September,NA,NA,0,0.028589581,2.278049173,Low contamination,-1
16296,2021,290,Male,FP,7.23,5.42,0.98,4.729,0.23,0,0,0.136,A,October,NR,NA,0,0.028758723,2.970102617,Low contamination,15
3432,2007,185,Male,DC,8.23,6.93,0.1,7.464,0.2,0,0,0.215,NA,July,NR,NA,0,0.02880493,2.242703841,Low contamination,1
3844,2004,194,Male,DC,NA,10.19,NA,30.962,NA,NA,0,0.901,NA,July,NA,NA,0,0.029100187,2.926216496,Low contamination,-2
7362,2004,252,Male,DC,NA,6.95,NA,10.661,NA,0,0,0.311,NA,September,NA,NA,0,0.029171747,3.175729692,Low contamination,-2
8026,2004,266,Male,FP,NA,7.09,NA,8.561,NA,NA,0,0.25,NA,September,NA,NA,0,0.029202196,2.402070731,Low contamination,-2
2758,2004,176,Male,FP,NA,5.77,NA,4.576,NA,NA,0,0.134,NA,June,NA,NA,0,0.029283217,2.382092251,Low contamination,-2
9157,2004,281,Male,DC,NA,8.22,NA,14.989,NA,NA,0,0.44,NA,October,NA,NA,0,0.02935486,2.698716144,Low contamination,-2
6064,2004,225,Male,FP,NA,5.4,NA,3.111,NA,NA,0,0.092,NA,August,NA,NA,0,0.029572485,1.975689681,Low contamination,-2
6045,2004,225,Male,FP,NA,4.94,NA,2.682,NA,NA,0,0.08,NA,August,NA,NA,0,0.029828486,2.224733153,Low contamination,-2
3835,2004,194,Male,GC,NA,6.03,NA,5.208,NA,NA,0,0.156,NA,July,NA,NA,0,0.029953917,2.37530312,Low contamination,-2
9462,2005,292,Male,LS,NA,7.2,NA,9.21,NA,NA,0,0.276,NA,October,NA,NA,0,0.029967427,2.467528292,Low contamination,-1
3950,2011,194,Male,DC,6.36,5.31,0.066,3.026,0.2,0,0,0.091,NA,July,NR,NA,0,0.030072703,2.021088637,Low contamination,5
3397,2007,185,Male,P27,8.26,6.66,0.108,6.899,0.33,0,0,0.208,NA,July,NR,NA,0,0.030149297,2.335411731,High contamination,1
2844,2008,178,Male,DC,8.71,7.18,0.106,9.453,0.01,0,0,0.286,NA,June,NR,NA,0,0.030254946,2.553855526,Low contamination,2
2784,2004,176,Male,DC,NA,7.55,NA,12.068,NA,NA,0,0.366,NA,June,NA,NA,0,0.030328141,2.804106129,Low contamination,-2
